,name,title,abstract,keywords,category,lang
0,Kougami Arising,Sibyl EEG: Diagnosis Aktivitas Otak pada Subjek Terindikasi Gangguan Mental dengan Elektroensefalografi (EEG) Berbasis Deep Learning,"COVID-19 menyebabkan kesehatan mental menjadi semakin buruk, diketahui sebanyak 77% persen masyarakat Indonesia mengalami mental health disorder. Secara umum, sel-sel neuron bekerja atas pengaruh emosi dan aktivitas yang disalurkan melalui mekanisme hormon atau pun sistem mekanisme kerja refleks. Kinerja otak ini dapat dilihat melalui teknik elektroensefalografi (EEG) yang membaca pola gelombang otak. Gelombang otak merupakan gelombang elektrik yang dihasilkan oleh akumulasi impuls elektrik oleh sel-sel neuron pada otak. Pola gelombang kerja otak pada seseorang yang normal/sehat dan seseorang yang mentalnya terganggu ternyata memiliki perbedaan. Deteksi ini diperlukan agar diagnosis kesehatan mental pada pasien dapat menjadi lebih akurat dan meyakinkan, baik bagi dokter maupun pasien. Pola yang dihasilkan EEG kemudian diolah menggunakan metode deep learning. Melalui proses ini, diagnosa penyakit mental dapat dilakukan.",,Diagnostik,Indonesia
1,Destination,,"COVID-19 merupakan penyakit yang disebabkan oleh SARS-CoV2 yang telah ditetapkan WHO sebagai pandemi. Pasien dengan COVID-19 berat menunjukkan peningkatan signifikan pada sitokin atau disebut badai sitokin. Badai sitokin yang kuat karena respon imun yang tidak seimbang dapat berakibat peradangan yang tidak terkendali di dalam jaringan dan organ utama. Salah satu bioaktif yang berpotensi adalah Kaempferol yang memiliki kemampuan immunosuppressive. Kaempferol merupakan salah satu senyawa utama yang terkandung pada Lengkuas (Alpinia galanga). Berdasarkan prediksi protein target melalui webserver swisstargetprediction.ch Receptor-type tyrosine-protein kinase FLT3 yang berkaitan dengan cytokine-mediated signaling pathway dan dendritic cell differentiation. Penelitian ini bertujuan untuk memprediksi Kaempferol untuk menghambat FLT3 melalui reverse docking. Docking dilakukan dengan software Pyrx dan divisualisasi dengan software Pymol dan Biovia Discovery Studio. Data dari software dan web dianalisis secara deskriptif dan dibandingkan dengan enam senyawa kontrol, yaitu Fedratinib, Fostamatinib, Nintedanib, Pazopanib, Chloroquine dan Hydroxychloroquine. Hasil penelitian menunjukkan nilai afinitas secara berturut-turut sebesar -7,8; -9,2; -8,5; -8,4; -9,6; -6,8; dan -6,7 kkal/mol. Berdasarkan hasil visualisasi, Kaempferol mempunyai residu asam amino yang mirip dengan kontrol. Analisis prediksi kemampuan biooral Kaempferol dengan aturan Lipinski’s Rule of Five dan uji toksisitas menunjukkan bahwa Kaempferol berpotensi sebagai kandidat aktif obat oral dan tidak bersifat racun. Hasil penelitian ini menyimpulkan bahwa Kaempferol dari Lengkuas dapat direkomendasikan sebagai kandidat obat badai sitokin pada pasien COVID-19 meskipun nilai afinitasnya tidak paling rendah dibandingkan senyawa kontrol, tetapi sifat alami pada Kaempferol menjadi nilai tambah dan pertimbangan lain.","Kaempferol, Alpinia galanga, immunosuppressive, cytokine storm, COVID-19, Receptor-type tyrosine-protein kinase FLT3, reverse docking",Obat-obatan/ Terapi kesehatan,Indonesia
2,Biogenesis,Desain Vaksin Peptida Salmonella enterica serovar Typhi  (S. Typhi) Berbasis In Silico Epitop Outer Membran Protein (OMP),"Salmonella enterica serovar Typhi (S. Typhi) merupakan bakteri patogen penyebab penyakit (menular) demam tifoid pada manusia. Saat ini, pengobatan tifoid semakin sulit dilakukan akibat tingginya resistensi strain S. Typhi terhadap antibiotik. Salah satu langkah untuk dapat menghentikan laju penyebaran dan prevalensi tifoid adalah dengan melakukan pengembangan vaksin tifoid yang efektif. Sejauh ini, sudah terdapat tiga jenis vaksin tifoid yaitu Ty21a, ViCPS dan Inactivated typhoid vaccine. Akan tetapi, efikasi yang dimiliki vaksin Ty21a dan ViCPS masih sekitar 65-70% serta proteksi moderat inactivated typhoid vaccine hanya memberikan hasil yaitu 51-67%. Studi yang dilakukan oleh Muthiadin et. al (2015) menunjukkan bahwa crude antigen OMP 36 kDa S. Typhi asal isolat Makassar memiliki kemampuan proteksi terhadap S. Typhi pada tubuh mencit. Reaksi aglutinasi ditunjukkan dengan tingkat sensitivitas 100%. OMP yang merupakan jenis antigen paling imunogenik tersebut berpotensi untuk dimanfaatkan dalam bidang pengembangan vaksin dan immunodiagnosis khususnya di Indonesia. Oleh karena itu, penelitian ini dilakukan sebagai langkah awal untuk mengembangkan epitop berbasis vaksin peptida secara in silico untuk melawan spesies S. Typhi. Studi dilakukan melalui pendekatan imunoinformatika secara komprehensif kemudian dilanjutkan dengan metode molecular docking dan simulasi dinamika molekuler untuk memprediksi kandidat vaksin epitop sel B dan sel T yang efektif berdasarkan struktur OMP.","S. Typhi, tifoid, OMP, vaksin, epitop",Diagnostik,Indonesia
3,FK Unjani,Sequencing and Bioinformatics Analysis of ~ 20 kDa Protein from Rambutan Seeds as HIV Reverse Transcriptase Inhibitor,"Antiretroviral (ARV) combination treatment, with the aim of reducing the number of viruses, is the popular choice of treatment for patients infected by the Human Immunodeficiency Virus (HIV). This treatment consists combinations of NRTIs and NNRTIs, which work by inhibiting the reverse transcriptase enzyme, an enzyme that plays a role in the reverse transcription (RT) of RNA into DNA in the replication process. Rambutan seeds contain a Kunitz-type trypsin inhibitor which has the potential to inhibit the RT enzyme in the HIV-1 replication process like the RT inhibitor class drug with a molecular weight of ~20 kDa. This study aims to determine dan analyze the ~20 kDa protein amino acid sequence in rambutan seeds which is used as a foundation for the development of recombinant protein. The protein was purified and isolated using purification of anion-exchange chromatography and SDS-PAGE. Amino acid sequence was analyzed by LC-MS/MS. The method used for the analysis of amino acid sequences is BLAST, while Structural prediction model is analyzed by using SWISS-MODEL. Analysis of protein properties using ProtScale with results in the form of interpretation of molecular weight, hydrophobicity, polarity, number of codons, and average flexibility index.",,Obat-obatan/ Terapi kesehatan,English
4,PANACEA,,"Currently, the world is hit by a pandemic caused by a virus called SARS-CoV-2. SARS-CoV-2 is a virus whose genetic material is in the form of RNA so it tends to mutate easily. The discovery of synthetic drugs and vaccines targeting SARS-CoV-2 has a great risk of failure due to mutations that occur in SARS-CoV-2 target proteins. To overcome this problem, a multi-target drug can be designed to prevent resistance due to mutations in the target proteins. In line with the big data era, data related to SARS-CoV-2 research to date is very abundant and open. This abundance of data raises the potential for analysis using machine learning. We aim to design a multi-target drug candidate for SARS-CoV-2 using machine learning. The analysis was first performed on the SARS-CoV-2 proteins to determine the potential protein targets. A prediction model for the activity of potential protein-targeted compounds was made. Further, the dataset of potential protein targets is analyzed to obtain the maximum common structure. From the maximum common structure, structure enrichment is then carried out to obtain a dataset of derivative compounds. Finally, the derivatives of these compounds analyze their activity through a prediction model created before. Also, the derivatives of these compounds analyze their toxicity and physicochemical properties to find the most potential candidates. The expected outcome of this research is the identification of new drug candidates for SARS-CoV-2 to overcome the risk of resistance.","Machine Learning, Multiple targets, Resistance, SARS-CoV-2.",Obat-obatan/ Terapi kesehatan,English
5,TIM GSEP4R,,"Tay-Sachs disease (TSD) causes severe neurodegeneration starting with symptoms such as muscle paralysis, blindness, dementia, and oftentimes leads to death. The disease is essentially incurable, hindered by the number of mutations in the HEXA gene, each with different translation effects, onset, and severity. Several approaches that have been developed for the disease, including enzyme replacement therapy, bone marrow transplantation, chaperone intervention, and substrate reduction, are often limited in reversing the neurological damage. Meanwhile, gene therapy approaches such as AAV-mediated CRISPR insertion shows time-limited neural recovery, adverse neurotoxicity and tumorigenicity, despite dissipation of GM2 build-up. In this article, we propose a robust method to introduce in situ genetic insertion of HEXA activity on human cells with infantile onset Tay-Sachs disease. Our method utilizes a transit-ticketing system in which a retroviral vector inserts a transit cargo into a neutral genomic location as a safe genetic harbour. Successful insertion activates an enhancer-like insertion-inhibitor and a transient transposase construct. The former protects the cell from having additional cargos inserted into the genome, while the latter, a modified Tc1/mariner transposase with HEXA enhancer-specific adapter, tickets a HEXA cDNA construct from the cargo and inserts it to its native location. We also suggest a possible insertion timeframe and assay to ensure a single insertion and gene correction is completed. Further testing and improvement of the circuit and utilization of bioinformatics modelling will pave massive clinical progress in understanding and treating neurodegenerative diseases and their pathophysiology.",,Obat-obatan/ Terapi kesehatan,English
6,Relic Team,,"Jumlah kasus demensia di dunia diestimasikan mencapai lebih dari 45 juta. Angka tersebu diperkirakan akan terus meningkat hingga mencapai tiga kali lipat pada tahun 2050, menjadikan demensia sebagai salah satu tantangan terbesar bagi kesehatan global. Sebanyak 60 hingga 80% bagian dari demensia adalah Alzheimer.  Penyakit Alzheimer dicirikan dengan kondisi penumpukan protein beta amyloid pada otak. Oleh karena itu upaya untuk mengobati Alzheimer adalah dengan memanfaatkan senyawa yang memiliki inhibitor protein BACE1. Penelitian ini diawali dengan skrining virtual kemampuan senyawa standar pengobatan Alzheimer yaitu AChEIs, vitamin D dan beberapa senyawa lain yang terdapat pada Solanum betaceum menghambat protein BACE1 menggunakan metode docking. Senyawa hasil skrining virtual dengan skor docking tertinggi dipilih untuk dianalisis lebih lanjut kestabilannya dalam sisi aktif protein BACE1 dengan menggunakan metode simulasi dinamika molekul. Untuk menganalisis dinamika sistem, dilihat dari fluktuasi sistem versus waktu simulasi. Dengan metode tersebut diharapkan senyawa yang terdapat pada solanum betacium dapat digunakan sebagai kandidat obat Alzheimer.",,Obat-obatan/ Terapi kesehatan,Indonesia
7,Panzerkampfwagen V,,"Human T-Cell Lymphotropic Virus (HTLV) merupakan salah satu anggota kelompok Retrovirus. HTLV terdistribusi di Jepang, Afrika, Kepulauan Karibia, Amerika Tengah, dan Amerika Selatan. HTLV merupakan onkovirus, yaitu virus yang dapat menyebabkan kanker. Terdapat empat Subtipe HTLV, yaitu HTLV-1, HTLV-2, HTLV-3, dan HTLV-4. HTLV-1 merupakan subtipe yang paling penting secara aspek klinis karena dapat menyebabkan leukemia yang fatal. Diperkirakan sekitar 5-20 juta orang terinfeksi oleh HTLV-1 secara global. Salah satu penyebab tingginya jumlah orang yang terinfeksi adalah sifat bloodborne dari HTLV-1. 5% dari total orang yang terinfeksi mengalami adult T cell leukemia (ATL). Saat ini belum terdapat vaksin yang terlisensi untuk mencegah infeksi HTLV. Disini kami mencoba untuk mendesain vaksin HTLV-1 berbasis peptida multiepitop melalui studi in silico.. Pemetaan epitop in silico akan dilakukan menggunakan server IEDB mencakup epitop sel B dan sel T. Hasil pemetaan epitop sel B dan sel T akan dirangkai sebagai peptida multiepitop dan difusikan dengan flagelin sebagai adjuvan. Flagelin merupakan agonis TLR-5 yang berpotensi digunakan sebagai adjuvan. Vaksin peptida umumnya memerlukan adjuvan karena memiliki imunogenisitas yang kurang baik. Simulasi respon imun dari vaksin multiepitop hasil konstruksi akan dilakukan menggunakan server C-Immsim. Hasil dari studi in silico vaksin peptida HTLV-1 diharapkan dapat membantu upaya pengembangan vaksin HTLV-1 sehingga dapat menurunkan angka kejadian penyakit yang memiliki asosiasi dengan HTLV-1.",,Obat-obatan/ Terapi kesehatan,English
8,I3LCV,,"Non-small-cell carcinoma cells (NSCLC) are the most common lung cancer which has the highest mortality rate in Indonesia. One of the trends in treating cancer is by utilizing peptide vaccines, an immunotherapeutic approach that aims to stimulate the cell-mediated adaptive immune system to recognize cancer-associated peptides. Currently, no peptide vaccines are available in the market for NSCLC treatment. Therefore, this project aims to develop a multi-epitope peptide-based vaccine for NSCLC utilizing citrullinated peptides. Citrullination is a post-translational modification that occurs in cancer cells during autophagy that functions to induce immune responses towards modified self-epitopes such as tumor cells, through activation of PAD enzymes within the APC and target cells. It was found that introducing a common citrullinated neo-antigen peptide such as vimentin and enolase to the immune system could stimulate a higher specific CD4+ T cell response against NSCLC. Moreover, carcinoembryonic antigen (CEA), an antigen that is highly expressed in cancer cells, is also added to increase the vaccine’s specificity and to mobilize both CD4+ and CD8+ T cells. These antigens bind strongly to the MHC Class II alleles such as HLA-DRB1*07:01 and HLA-DRB*11:01, which are predominant alleles in Indonesian populations. Through in silico approach, the peptides generated from CEA, citrullinated vimentin and enolase, were analyzed for their MHC binding strength, immunogenicity, ability to induce IFN? response, and population coverage. It is expected that the immunodominant antigens presentation is able to induce a potent immune response in NSCLC patients in Indonesia, resulting in tumor eradication.",,Obat-obatan/ Terapi kesehatan,English
9,PORE,POTENSI ANTIFUNGAL FITOALEKSIN TERHADAP PROTEIN PATOGEN (Pyricularia grisea) DARI Oryza sativa SEBAGAI KANDIDAT FUNGISIDA ALAMI MELALUI METODE MOLECULAR DOCKING,"Penyakit blas menginfeksi tanaman padi sawah pada semua stadium tumbuh dan merupakan kontributor potensial yang dapat membuat tanaman puso. Tanaman menggunakan sistem pertahanan yang kompleks terhadap hama dan patogen, yang mengarah pada produksi metabolit sekunder dengan massa molekul rendah dan senyawa dengan aktivitas antimikroba, yang secara kolektif dikenal sebagai fitoaleksin. Fitoaleksin adalah sekelompok senyawa heterogen yang menunjukkan aktivitas biologis terhadap berbagai variasi patogen dan dianggap sebagai penanda molekul resistensi penyakit. Scytalone dehydratase merupakan salah satu jenis enzim protein Pyricularia grisea yang memainkan peran penting dalam pertumbuhan dan perkembangan patogen fungus pada tahap berbeda dari patogenesis penyakit blas. Senyawa fitoaleksin dari tanaman Poaceae di antaranya adalah (Kauralexin B1, Momilactone A, Oryzalexin D, Zealexin A1). Tujuan dari penelitian ini adalah memprediksi potensi antifungal fitoaleksin melalui interaksi molekuler yang dihasilkan dari penggabungan antara senyawa yang dijadikan ligan yaitu kandidat fitoaleksin terhadap makromolekul yang dijadikan reseptor yaitu Scytalone dehydratase. Metode yang digunakan dalam penelitian adalah teknik penambatan molekuler secara in silico. Ligan yang digunakan diunduh melalui website PubChem. Reseptor yang digunakan diunduh melalui website UniProt. Beberapa software yang digunakan adalah BIOVIA Discovery Studio, PyMOL, Autodock Tools, Autodock Vina. Hasil penelitian eksploratif in silico kemudian di analisis secara deskriptif dengan melihat beberapa parameter berupa energi ikatan, nilai RMSD (Root Mean Square Devation), ikatan kimia dan residu asam amino yang terbentuk.",,Lingkungan,Indonesia
